# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
NSVS_10653195                  K6_V         K7_V            0.561 12.50  1.17 -0.1937  0.0035 -0.1864  0.0035 -0.1630  0.0133 -0.1726  0.0129  4.5700  0.0270  4.5970  0.0270  3.6280  0.0100  3.6130  0.0120 -0.8630  0.0500 -0.9390  0.0550 -9.9900 -9.9900
ASAS_J082552-1622.8            K7_V         M0_V            1.528 11.45  1.16 -0.1531  0.0028 -0.1629  0.0031 -0.1586  0.0056 -0.1555  0.0081  4.6000  0.0160  4.5850  0.0160  3.6240  0.0210  3.6110  0.0210 -0.8080  0.0820 -0.9090  0.0870 -9.9900 -9.9900
M55_V54                        none         none            9.269 18.30  0.56 -0.1391  0.0090 -0.2557  0.0063  0.0026  0.0039 -0.2774  0.0041  4.2940  0.0100  4.7370  0.0100  3.7960  0.0050  3.7010  0.0080  0.1400  0.0210 -0.7990  0.0330 -1.8600  0.1500
V404_CMa                       none         none            0.452 17.45  1.17 -0.1349  0.0030 -0.1791  0.0033 -0.1427  0.0060 -0.1675  0.0128  4.6080  0.0120  4.6140  0.0250  3.6230  0.0100  3.5960  0.0120 -0.8670  0.0440 -1.0280  0.0540 -9.9900 -9.9900
2MASS_J12220147-5737565        M2e          M2e             3.072 12.85  1.50 -0.1335  0.0034 -0.1752  0.0029 -0.0106  0.0058 -0.0259  0.0069  4.3300  0.0110  4.3100  0.0130  3.5740  0.0040  3.5620  0.0040 -0.7720  0.0210 -0.8510  0.0220 -9.9900 -9.9900
1SWASP_J093010.78+533859.5     K1_V         K5_V            1.306  9.84  0.88 -0.1158  0.0079 -0.1911  0.0081 -0.1209  0.0046 -0.1290  0.0058  4.5640  0.0120  4.5050  0.0140  3.6990  0.0170  3.6270  0.0210 -0.4900  0.0700 -0.8000  0.0800 -9.9900 -9.9900
M4_V69                         none         none           48.188 17.01  0.90 -0.1155  0.0030 -0.1380  0.0029 -0.0627  0.0049 -0.0929  0.0043  4.4440  0.1320  4.4830  0.1190  3.7840  0.0090  3.7720  0.0100 -0.0360  0.0360 -0.1460  0.0410 -1.2000  0.1000
M4_V66                         none         none            8.111 16.84  0.88 -0.1056  0.0025 -0.1283  0.0025 -0.0293  0.0022 -0.0810  0.0028  4.3880  0.0770  4.4690  0.0850  3.7900  0.0070  3.7740  0.0080  0.0530  0.0280 -0.1150  0.0310 -1.2000  0.1000
V1236_Tau                      K7_V         K7_V            2.588 18.10  1.37 -0.1040  0.0066 -0.1135  0.0051 -0.1035  0.0083 -0.0878  0.0053  4.5400  0.0200  4.5000  0.0100  3.6230  0.0200  3.6180  0.0250 -0.7600  0.1000 -0.7500  0.0900 -9.9900 -9.9900
M4_V65                         none         none            2.293 17.03  0.90 -0.0950  0.0046 -0.2182  0.0032  0.0596  0.0039 -0.2140  0.0065  4.2210  0.0140  4.6450  0.0170  3.7850  0.0080  3.6820  0.0110  0.2100  0.0320 -0.7470  0.0460 -1.2000  0.1000
