# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
V2080_Cyg                      F4_V         F4_V            4.934  7.40  0.42  0.0759  0.0062  0.0633  0.0064  0.2030  0.0022  0.2038  0.0022  4.1080  0.0030  4.0930  0.0030  3.7780  0.0050  3.7770  0.0050  0.4740  0.0220  0.4720  0.0220 -9.9900 -9.9900
LV_Her                         F9_V         F9_V           18.436 11.06  0.78  0.0766  0.0036  0.0681  0.0030  0.1329  0.0038  0.1183  0.0036  4.2493  0.0082  4.2695  0.0081  3.7930  0.0110  3.7800  0.0110  0.3490  0.0440  0.3110  0.0440  0.0800  0.2100
AI_Phe                         K0_IV        F7_V           24.592  8.61  0.83  0.0769  0.0003  0.0948  0.0003  0.2565  0.0005  0.4673  0.0003  4.0020  0.0011  3.5981  0.0009  3.7920  0.0020  3.7070  0.0020  0.6540  0.0070  0.7360  0.0060 -0.1400  0.1000
KIC_2306740                    none         none           10.307 13.70  0.74  0.0770  0.0029  0.0326  0.0028  0.2258  0.0010  0.0885  0.0018  4.0630  0.0020  4.2940  0.0040  3.7640  0.0180  3.7820  0.0170  0.4490  0.0750  0.2600  0.0720 -9.9900 -9.9900
LL_Aqr                         F3_V         F8_V           20.178  9.32  0.54  0.0777  0.0003  0.0144  0.0003  0.1209  0.0020  0.0009  0.0022  4.2740  0.0040  4.4510  0.0040  3.7840  0.0030  3.7560  0.0040  0.3320  0.0140 -0.0190  0.0160  0.0200  0.0400
FL_Lyr                         F8_V         G8_V            2.178  9.33  0.52  0.0829  0.0027 -0.0217  0.0018  0.0948  0.0080 -0.0458  0.0116  4.3310  0.0160  4.5080  0.0230  3.7960  0.0080  3.7400  0.0190  0.3300  0.0950 -0.1800  0.0800 -0.0700  0.0900
Kepler-1647                    none         none           11.259 13.70  0.66  0.0866  0.0040 -0.0142  0.0018  0.2529  0.0013 -0.0149  0.0026  4.0180  0.0020  4.4534  0.0040  3.7930  0.0070  3.7610  0.0090 -9.9900 -9.9900 -9.9900 -9.9900 -0.1400  0.0500
UX_Men                         F8_V         F8_V            4.181  8.22  0.54  0.0874  0.0005  0.0747  0.0005  0.1294  0.0042  0.1052  0.0044  4.2720  0.0090  4.3060  0.0090  3.7920  0.0070  3.7890  0.0070  0.3800  0.0300  0.3200  0.0300  0.0400  0.1000
KIC_3439031                    none         none            5.952 11.34  0.48  0.0884  0.0009  0.0890  0.0010  0.1484  0.0007  0.1471  0.0008  4.2300  0.0013  4.2332  0.0015  3.8150  0.0150  3.8150  0.0150  0.4500  0.0600  0.4500  0.0600  0.1000  0.1300
WZ_Oph                         F8_V         F8_V            4.184  9.10  0.50  0.0888  0.0025  0.0864  0.0021  0.1464  0.0037  0.1520  0.0037  4.2340  0.0080  4.2210  0.0080  3.7900  0.0070  3.7860  0.0070  0.4100  0.0300  0.4000  0.0300 -0.2700  0.0700
WOCS_40007                     none         none            3.185 15.65  0.71  0.0920  0.0070  0.0358  0.0072  0.1458  0.0022  0.0406  0.0016  4.2400  0.0050  4.3810  0.0040  3.7950  0.0060  3.7750  0.0110 -9.9900 -9.9900 -9.9900 -9.9900 -0.0300  0.0600
TIC_172900988                  none         none           19.658 10.14  0.55  0.0926  0.0003  0.0799  0.0003  0.1407  0.0008  0.1186  0.0004  4.2492  0.0016  4.2808  0.0009  3.7820  0.0070  3.7770  0.0070 -9.9900 -9.9900 -9.9900 -9.9900  0.3400  0.3400
EF_Aqr                         G0_V         none            2.854  9.89  0.72  0.0948  0.0028 -0.0241  0.0028  0.1265  0.0039 -0.0195  0.0055  4.2800  0.0070  4.4530  0.0110  3.7890  0.0060  3.7150  0.0090  0.3600  0.0110 -0.2270  0.0200  0.0000  0.1000
KIC_5288543                    none         none            3.457 13.52  0.39  0.0973  0.0052 -0.0237  0.0046  0.2097  0.0009 -0.0328  0.0015  4.1160  0.0070  4.4800  0.0080  3.7980  0.0120  3.7480  0.0120 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
KIC_5359678                    F5           none            6.231 14.21  0.70  0.0976  0.0062  0.0273  0.0053  0.1611  0.0036  0.0204  0.0070  4.2140  0.0070  4.4240  0.0130  3.8130  0.0030  3.7770  0.0050  0.5550  0.0140  0.1030  0.0250 -9.9900 -9.9900
KIC_8430105                    none         none           63.327 10.67  0.93  0.0983  0.0048 -0.0897  0.0027  0.8736  0.0018 -0.1253  0.0024  2.7892  0.0033  4.5990  0.0039  3.7520  0.0060  3.7560  0.0060 -9.9900 -9.9900 -9.9900 -9.9900 -0.4600  0.1000
HS_Hya                         F5_V         F5_V            1.568  8.12  0.41  0.0987  0.0027  0.0859  0.0025  0.1054  0.0025  0.0850  0.0025  4.3259  0.0056  4.3539  0.0057  3.8129  0.0033  3.8062  0.0034  0.4150  0.0140  0.3470  0.0150 -9.9900 -9.9900
V501_Her                       G3_IV        G3_V            8.598 10.93  0.93  0.1035  0.0012  0.0833  0.0011  0.3014  0.0007  0.1793  0.0008  3.9384  0.0014  4.1623  0.0016  3.7550  0.0080  3.7570  0.0080  0.5760  0.0300  0.3440  0.0290 -9.9900 -9.9900
V2154_Cyg                      F3_V         K2_V            2.631  7.83  0.40  0.1035  0.0058 -0.1225  0.0034  0.1694  0.0035 -0.1407  0.0055  4.2028  0.0089  4.5970  0.0120  3.8310  0.0100  3.7010  0.0130  0.6160  0.0390 -0.5230  0.0390 -9.9900 -9.9900
CQ_Ind                         F6_V         F8_V            8.974  8.36  0.53  0.1036  0.0004  0.0528  0.0005  0.1491  0.0012  0.0518  0.0022  4.2430  0.0020  4.3870  0.0030  3.8100  0.0050  3.7880  0.0050  0.4940  0.0180  0.2120  0.0210 -0.0400  0.0800
VZ_Hya                         F5_V         F6_V            2.904  8.95  0.41  0.1041  0.0021  0.0592  0.0027  0.1186  0.0017  0.0461  0.0027  4.3050  0.0050  4.4050  0.0060  3.8090  0.0100  3.7990  0.0100  0.4800  0.0400  0.2400  0.0400 -0.2000  0.1200
V505_Per                       F5_V         F5_V            4.222  6.88  0.42  0.1053  0.0012  0.0996  0.0010  0.1120  0.0005  0.1016  0.0006  4.3194  0.0010  4.3343  0.0010  3.8140  0.0030  3.8100  0.0130  0.4340  0.0130  0.3990  0.0130 -9.9900 -9.9900
AP_And                         F5_V         F5_V            1.587 11.19  0.44  0.1062  0.0015  0.0973  0.0015  0.0911  0.0022  0.0775  0.0019  4.3623  0.0044  4.3805  0.0038  3.8170  0.0100  3.8130  0.0100  0.4030  0.0400  0.3580  0.0390 -9.9900 -9.9900
KIC_7821010                    none         none           24.238 10.84  0.56  0.1062  0.0058  0.0867  0.0057  0.1059  0.0037  0.0828  0.0050  4.3320  0.0070  4.3590  0.0090  3.8270  0.0100  3.8170  0.0110  0.4700  0.0400  0.3900  0.0500  0.1000  0.0800
CF_Tau                         K0           G0              2.756 10.25  0.95  0.1079  0.0030  0.0973  0.0038  0.4467  0.0017  0.3113  0.0034  3.6530  0.0050  3.9130  0.0080  3.7160  0.0130  3.7780  0.0110  0.7100  0.0500  0.6900  0.0500 -9.9900 -9.9900
V1061_Cyg                      F9_V         G8_V            2.347  9.24  0.54  0.1079  0.0051 -0.0308  0.0032  0.2082  0.0046 -0.0114  0.0089  4.1290  0.0110  4.4300  0.0180  3.7910  0.0070  3.7240  0.0120  0.5330  0.0300 -0.1730  0.0520 -9.9900 -9.9900
V375_Cep                       none         none            1.910 16.12  0.88  0.1099  0.0057 -0.0600  0.0040  0.2103  0.0016 -0.0472  0.0015  4.1290  0.0070  4.4730  0.0020  3.7940  0.0030  3.7030  0.0150 -9.9900 -9.9900 -9.9900 -9.9900  0.0900  0.0500
V455_Aur                       F5_V         F6_V            3.146  7.28  0.43  0.1102  0.0021  0.0905  0.0018  0.1427  0.0034  0.1199  0.0046  4.2626  0.0070  4.2887  0.0089  3.8130  0.0130  3.8060  0.0130  0.4920  0.0540  0.4190  0.0550 -9.9900 -9.9900
CO_And                         F8_V         F8_V            3.655 10.83  0.52  0.1103  0.0025  0.1019  0.0025  0.2373  0.0053  0.2289  0.0044  4.0740  0.0110  4.0822  0.0089  3.7880  0.0090  3.7900  0.0090  0.5800  0.0380  0.5720  0.0380  0.0100  0.1500
V1130_Tau                      F2_V         F2_V            0.799  6.56  0.36  0.1159  0.0027  0.1436  0.0025  0.1729  0.0029  0.2509  0.0027  4.2080  0.0060  4.0800  0.0060  3.8220  0.0050  3.8210  0.0050  0.5900  0.0200  0.7400  0.0200 -0.2500  0.1000
TIC_193993801                  F8_V         none            1.431 11.27  0.67  0.1159  0.0050  0.0752  0.0066  0.2284  0.0036  0.1153  0.0057  4.0980  0.0060  4.2450  0.0110  3.8010  0.0030  3.7850  0.0030  0.6140  0.0130  0.3230  0.0180 -9.9900 -9.9900
V338_Vir                       F5_V         F6_IV           5.985  9.15  0.47  0.1164  0.0007  0.1804  0.0006  0.1855  0.0028  0.3738  0.0017  4.1830  0.0060  3.8710  0.0030  3.8180  0.0060  3.8080  0.0040  0.5990  0.0240  0.9340  0.0170 -0.1000  0.0600
CPD_-54_810                    none         none           26.132 10.45  0.41  0.1167  0.0017  0.0373  0.0014  0.2853  0.0007  0.0724  0.0014  3.9836  0.0012  4.3297  0.0026  3.8100  0.0030  3.8010  0.0030  0.7660  0.0110  0.3050  0.0120  0.0000  0.2000
FM_Leo                         F6_V         F6_V            6.729  8.47  0.49  0.1187  0.0002  0.1039  0.0001  0.2107  0.0006  0.1785  0.0008  4.1350  0.0010  4.1850  0.0010  3.8060  0.0040  3.8050  0.0040  0.6000  0.0150  0.5330  0.0150 -0.1100  0.0400
NP_Per                         F5_V         K5_e            2.229 11.24  0.70  0.1208  0.0029  0.0194  0.0019  0.1374  0.0041  0.0896  0.0046  4.2840  0.0080  4.2779  0.0089  3.8080  0.0060  3.6570  0.0150  0.4600  0.0250 -0.2370  0.0580  0.0200  0.0800
IT_Cas                         F5_V         F5_V            3.897 11.15  0.50  0.1220  0.0031  0.1212  0.0026  0.1918  0.0012  0.1907  0.0013  4.1765  0.0022  4.1778  0.0021  3.8290  0.0070  3.8290  0.0070  0.6530  0.0270  0.6510  0.0270 -9.9900 -9.9900
ASAS_J085002+1752.5            none         none            5.226 10.15  0.72  0.1225  0.0010  0.1967  0.0008  0.1962  0.0069  0.5081  0.0057  4.1680  0.0140  3.6190  0.0110  3.8170  0.0140  3.7580  0.0180 -9.9900 -9.9900 -9.9900 -9.9900 -0.0100  0.2700
UZ_Dra                         F7_V         G0_V            3.261  9.59  0.47  0.1271  0.0065  0.0899  0.0071  0.1173  0.0099  0.0607  0.0076  4.3300  0.0300  4.4000  0.0300  3.7930  0.0080  3.7770  0.0080  0.3500  0.0500  0.1800  0.0500 -9.9900 -9.9900
RT_CrB                         G5_IV        K0_IV           5.117 10.21  0.73  0.1281  0.0032  0.1332  0.0029  0.4175  0.0073  0.4692  0.0075  3.7310  0.0140  3.6320  0.0150  3.7620  0.0080  3.7100  0.0090  0.8380  0.0320  0.7360  0.0360 -9.9900 -9.9900
LX_Mus                         F5_V         F5_V           11.751  8.78  0.51  0.1282  0.0002  0.1317  0.0002  0.1287  0.0027  0.1449  0.0022  4.3090  0.0050  4.2800  0.0040  3.8150  0.0050  3.8170  0.0040  0.4730  0.0180  0.5130  0.0170  0.0900  0.0500
HD_22064                       F2_V         none            9.135  8.81  0.40  0.1287  0.0100 -0.2396  0.0075  0.1915  0.0039 -0.2255  0.0058  4.1840  0.0060  4.6500  0.0100  3.8300  0.0030  3.5680  0.0370  0.6580  0.0060 -1.1760  0.0120 -0.0500  0.1500
AQ_Ser                         F5_IV        F6_IV           1.687 10.65  0.51  0.1290  0.0077  0.1514  0.0067  0.3581  0.0027  0.3893  0.0048  3.8500  0.0090  3.8100  0.0120  3.8080  0.0070  3.8020  0.0070  0.9010  0.0270  0.9390  0.0420 -9.9900 -9.9900
RU_Cnc                         none         none           10.173 10.20  0.60  0.1294  0.0035  0.1508  0.0021  0.3400  0.0083  0.6936  0.0064  3.8880  0.0170  3.2020  0.0130  3.8170  0.0060  3.6780  0.0130 -9.9900 -9.9900 -9.9900 -9.9900 -0.2600  0.3400
ASAS_J171750-1915.3            none         none            3.137 10.99  0.64  0.1326  0.0008  0.1288  0.0010  0.2243  0.0018  0.2170  0.0016  4.1220  0.0030  4.1330  0.0030  3.8150  0.0090  3.8130  0.0090 -9.9900 -9.9900 -9.9900 -9.9900  0.0400  0.1200
V1143_Cyg                      F5_V         F5_V            7.641  5.89  0.47  0.1339  0.0013  0.1245  0.0013  0.1297  0.0052  0.1212  0.0053  4.3100  0.0300  4.3200  0.0400  3.8210  0.0130  3.8180  0.0150  0.5300  0.0600  0.5000  0.0700 -9.9900 -9.0000
BW_Aqr                         F7_V         F7_V            6.720 10.30  0.45  0.1377  0.0057  0.1670  0.0053  0.2388  0.0022  0.3161  0.0008  4.0982  0.0040  3.9731  0.0025  3.8100  0.0070  3.8020  0.0070  0.6690  0.0270  0.7960  0.0280 -0.0700  0.1100
ASAS_J052821+0338.5            K1_PMS       K3_PMS          3.873 11.70  0.90  0.1383  0.0035  0.1235  0.0026  0.2625  0.0024  0.2380  0.0025  4.0500  0.0100  4.0800  0.0100  3.7080  0.0090  3.6730  0.0090  0.3140  0.0340  0.1400  0.0350 -0.1500  0.1400
NGC_7142_V1                    none         none           15.651 14.86  0.83  0.1389  0.0028  0.1389  0.0028  0.2084  0.0013  0.2076  0.0013  4.1600  0.0030  4.1620  0.0030  3.7820  0.0140  3.7820  0.0140 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
AN_Cam                         F9_V         G2_IV          20.998  9.69  0.61  0.1399  0.0066  0.1467  0.0077  0.3343  0.0024  0.4226  0.0023  3.9095  0.0030  3.7400  0.0037  3.7820  0.0110  3.7600  0.0110  0.7500  0.0430  0.8390  0.0460 -9.9900 -9.9900
KIC_5193386                    none         none           21.378 14.26  0.84  0.1418  0.0113  0.0615  0.0075  0.6537  0.0031  0.1202  0.0030  3.2720  0.0180  4.2590  0.0140  3.6790  0.0090  3.8200  0.0100 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
KIC_9540226                    none         none          175.443 12.08  1.21  0.1430  0.0097  0.0065  0.0068  1.1281  0.0055  0.0145  0.0059  2.3260  0.0100  4.4160  0.0100  3.6610  0.0070  3.7650  0.0150  1.8540  0.0300  0.0420  0.0610 -0.3100  0.0900
V1200_Cen                      F5_V         none            2.483  8.50  0.46  0.1440  0.0056 -0.0638  0.0041  0.1483  0.0043  0.0622  0.0053  4.2855  0.0082  4.2496  0.0099  3.8190  0.0040  3.6510  0.0070  0.5250  0.0130 -0.3190  0.0250 -9.9900 -9.9900
VZ_Cep                         F3_V         G4_V            1.183  9.72  0.47  0.1467  0.0046  0.0444  0.0033  0.1858  0.0034  0.0179  0.0163  4.2130  0.0080  4.4460  0.0330  3.8240  0.0100  3.7570  0.0090  0.6340  0.0410  0.0260  0.0500 -9.9900 -9.9900
BN_Scl                         F7_V         F8_V            3.747  5.23  0.49  0.1482  0.0007  0.0948  0.0005  0.2634  0.0017  0.1399  0.0028  4.0590  0.0030  4.2560  0.0060  3.8000  0.0030  3.7950  0.0050  0.6800  0.0150  0.4150  0.0200 -0.2300  0.0600
KIC_6864859                    none         none           40.878 11.64  0.31  0.1495  0.0086  0.1316  0.0090  0.2188  0.0034  0.1629  0.0036  4.1500  0.0100  4.2440  0.0120  3.8130  0.0110  3.8160  0.0190 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
BK_Peg                         F8_V         F7_V            5.490  9.98  0.59  0.1504  0.0021  0.0993  0.0017  0.2984  0.0017  0.1685  0.0050  3.9920  0.0040  4.2010  0.0100  3.7970  0.0060  3.8010  0.0060  0.7400  0.0200  0.4900  0.0300 -0.1200  0.0700
BF_Dra                         F6_V         F6_V           11.211  9.76  0.59  0.1504  0.0009  0.1383  0.0009  0.3193  0.0025  0.2838  0.0027  3.9500  0.0050  4.0080  0.0050  3.8030  0.0110  3.8060  0.0100  0.8100  0.0400  0.7500  0.0400 -9.9900 -9.9900
AD_Boo                         F6_V         G0_V            2.069  9.38  0.44  0.1504  0.0028  0.0824  0.0022  0.2074  0.0038  0.0849  0.0036  4.1730  0.0080  4.3510  0.0070  3.8180  0.0080  3.7890  0.0080  0.6400  0.0300  0.2800  0.0400  0.1000  0.1500
V506_Oph                       F1_V         F1_V            1.060 11.41  0.21  0.1508  0.0031  0.1467  0.0028  0.2368  0.0025  0.2284  0.0031  4.1155  0.0061  4.1284  0.0067  3.8350  0.0100  3.8310  0.0070  0.7660  0.0390  0.7340  0.0280 -9.9900 -9.9900
ASAS_J163903-2847.2            none         none           23.310  9.85  0.59  0.1526  0.0012  0.0573  0.0008  0.3339  0.0012  0.0878  0.0014  3.9230  0.0020  4.3200  0.0030  3.8220  0.0050  3.8190  0.0250 -9.9900 -9.9900 -9.9900 -9.9900 -0.1900  0.1600
GK_Dra                         F1_V         F2_IV           9.974  8.77  0.35  0.1526  0.0037  0.2492  0.0069  0.2492  0.0069  0.4562  0.0043  4.1642  0.0044  3.7749  0.0083  3.8510  0.0040  3.8370  0.0040  0.7860  0.0180  1.2170  0.0170 -9.9900 -9.9900
BG_Ind                         F            F               1.464  6.13  0.50  0.1559  0.0061  0.1189  0.0083  0.3690  0.0035  0.2019  0.0090  3.8520  0.0080  4.1500  0.0120  3.8090  0.0020  3.8340  0.0020  0.9260  0.0090  0.6930  0.0200 -0.1900  0.0400
ASAS_J090232-5653.4            none         none           20.822 10.63  0.36  0.1572  0.0048  0.1374  0.0057  0.1838  0.0020  0.1436  0.0022  4.2010  0.0060  4.2440  0.0070  3.8470  0.0140  3.8250  0.0150  0.7360  0.0620  0.5850  0.0650 -0.1500  0.1300
OGLE-SMC-ECL-0970              G8_III       G9_III        191.551 17.93  1.06  0.1584  0.0060  0.1523  0.0031  1.2648  0.0071  1.3243  0.0041  2.0700  0.0100  1.9400  0.0100  3.6860  0.0060  3.6790  0.0060  2.2280  0.0280  2.3220  0.0270 -0.8300  0.0800
CD_Tau                         F6_V         F6_V            3.435  6.77  0.44  0.1590  0.0048  0.1361  0.0051  0.2548  0.0041  0.1998  0.0055  4.0870  0.0100  4.1740  0.0120  3.7920  0.0040  3.7920  0.0040 -9.9900 -9.9900 -9.9900 -9.9900  0.0800  0.1500
NN_Del                         F8           none           99.269  8.40  0.54  0.1597  0.0009  0.1227  0.0007  0.3412  0.0030  0.2063  0.0038  3.9150  0.0060  4.1480  0.0070  3.8090  0.0140  3.8130  0.0130  0.8680  0.0540  0.6150  0.0540 -9.9900 -9.9900
V570_Per                       F3_V         F5_V            1.901  8.09  0.46  0.1610  0.0019  0.1302  0.0020  0.1870  0.0099  0.1300  0.0103  4.2250  0.0200  4.3080  0.0210  3.8350  0.0030  3.8170  0.0030  0.6690  0.0230  0.4830  0.0240  0.0200  0.0300
OGLE-LMC-ECL-15260             G8_III       K2_III        157.469 16.92  1.36  0.1611  0.0054  0.1529  0.0049  1.3659  0.0080  1.6253  0.0095  1.8680  0.0160  1.3400  0.0190  3.6820  0.0120  3.6450  0.0080  2.4150  0.0500  2.7870  0.0380 -0.6300  0.1200
ASAS_J073507-0905.7            F5_V         none            1.446  9.32  0.45  0.1620  0.0102 -0.0926  0.0070  0.2135  0.0032 -0.0867  0.0058  4.1730  0.0050  4.5190  0.0100  3.8060  0.0070  3.6400  0.0110  0.6000  0.0300 -0.6600  0.0500 -0.2700  0.0800
DM_Vir                         F7_V         F7_V            4.669  8.73  0.47  0.1626  0.0024  0.1608  0.0024  0.2463  0.0042  0.2463  0.0042  4.1080  0.0090  4.1060  0.0090  3.8130  0.0070  3.8130  0.0070  0.7000  0.0300  0.7000  0.0300 -9.9900 -9.9900
KIC_8410637                    G_III        none          408.324 11.33  0.85  0.1679  0.0050  0.1169  0.0046  1.0251  0.0020  0.1920  0.0028  2.5560  0.0030  4.1710  0.0050  3.6630  0.0080  3.7830  0.0140  1.6560  0.0300  0.4680  0.0580  0.0200  0.0800
NGC_2506_V4                    none         none            2.868 14.65  0.39  0.1697  0.0021  0.0969  0.0035  0.3617  0.0026  0.1858  0.0054  3.8840  0.0070  4.1630  0.0120  3.8340  0.0060  3.8340  0.0060 -9.9900 -9.9900 -9.9900 -9.9900 -0.3600  0.1000
GX_Gem                         F7_V         F7_V            4.038 11.33  0.61  0.1726  0.0032  0.1664  0.0030  0.3668  0.0022  0.3499  0.0023  3.8770  0.0040  3.9040  0.0050  3.7920  0.0070  3.7900  0.0070  0.8600  0.0300  0.8200  0.0300 -0.1200  0.1000
HD_187669                      K0_III       K2.5_III       88.387  8.88  1.24  0.1772  0.0009  0.1775  0.0012  1.0542  0.0107  1.3545  0.0096  2.5070  0.0200  1.9070  0.0190  3.6670  0.0070  3.6360  0.0070  1.7320  0.0310  2.2070  0.0350 -0.2500  0.1000
HD_71636                       F2_V         F5_V            5.013  7.89  0.38  0.1778  0.0006  0.1079  0.0007  0.1995  0.0066  0.1186  0.0099  4.2200  0.0100  4.3100  0.0200  3.8420  0.0090  3.8090  0.0090  0.7210  0.0360  0.4280  0.0410 -9.9900 -9.9900
EPIC_219552514                 none         none            2.754 10.34  0.50  0.1787  0.0170 -0.1878  0.0100  0.3988  0.0050 -0.1858  0.0087  3.8220  0.0090  4.6240  0.0120  3.7910  0.0070  3.6030  0.0180  0.9130  0.0300 -1.0180  0.0750  0.0700  0.0300
KIC_6778289                    none         none           30.130 13.09  0.45  0.1796  0.0063  0.0382  0.0076  0.2425  0.0022 -0.0009  0.0022  4.1330  0.0080  4.4790  0.0100  3.8340  0.0100  3.8610  0.0260 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
KIC_5640750                    none         none          987.398 11.88  1.24  0.1804  0.0095  0.1113  0.0057  1.1480  0.0037  0.2679  0.0054  2.3230  0.0070  4.0140  0.0100  3.6560  0.0070  3.7670  0.0150  1.8710  0.0290  0.5550  0.0600 -0.2900  0.0900
OGLE-LMC-ECL-12933             G7_III       K2_III        125.395 17.38  1.37  0.1807  0.0054  0.1801  0.0049  1.2385  0.0055  1.5612  0.0037  2.1420  0.0110  1.4960  0.0070  3.6900  0.0180  3.6500  0.0150  2.1930  0.0730  2.6790  0.0590 -0.3800  0.1300
RZ_Cha                         F5_V         F5_V            2.832  8.10  0.47  0.1813  0.0060  0.1787  0.0078  0.3549  0.0033  0.3549  0.0033  3.9090  0.0090  3.9070  0.0100  3.8100  0.0100  3.8100  0.0100  0.9000  0.0400  0.9000  0.0400 -9.9900 -9.9900
EY_Cep                         F0_V         F0_V            7.971  9.80  0.27  0.1827  0.0023  0.1755  0.0041  0.1652  0.0024  0.1667  0.0030  4.2900  0.0060  4.2800  0.0060  3.8510  0.0100  3.8430  0.0100  0.6900  0.0400  0.6600  0.0400 -9.9900 -9.9900
HIP_7666                       A5           none            2.372  9.64  0.40  0.1847  0.0085  0.0899  0.0106  0.3181  0.0042  0.0253  0.0082  3.9800  0.0200  4.4700  0.0200  3.8510  0.0060  3.7800  0.0050  0.9900  0.0300  0.1300  0.0400 -0.1300  0.0500
HD_32129                       F3_V         G2_V           16.412  9.09  0.54  0.1872  0.0010  0.0289  0.0008  0.2724  0.0012 -0.0055  0.0022  4.0800  0.0030  4.4780  0.0060  3.8270  0.0040  3.7600  0.0070  0.8060  0.0160 -0.0130  0.0310  0.1900  0.0700
KIC_11285625                   early_F      early_F        10.790 10.16  0.39  0.1884  0.0037  0.0792  0.0058  0.3269  0.0020  0.1679  0.0041  3.9730  0.0060  4.1800  0.0100  3.8430  0.0060  3.8570  0.0120 -9.9900 -9.9900 -9.9900 -9.9900 -0.5800  0.1500
BT_Vul                         F0_V         F7_V            1.141 11.69  0.31  0.1886  0.0028  0.0862  0.0028  0.1864  0.0051  0.0611  0.0109  4.2540  0.0110  4.4030  0.0220  3.8620  0.0090  3.7970  0.0120  0.7720  0.0380  0.2600  0.0550 -9.9900 -9.9900
ZZ_Boo                         F3_V         F3_V            4.992  6.78  0.36  0.1923  0.0022  0.2038  0.0033  0.3144  0.0012  0.3434  0.0012  4.0016  0.0019  3.9550  0.0023  3.8270  0.0060  3.8250  0.0060  0.8930  0.0260  0.9430  0.0260 -9.9900 -9.9900
V442_Cyg                       F1_V         F2_V            2.386  9.72  0.32  0.1942  0.0067  0.1492  0.0071  0.3164  0.0071  0.2206  0.0086  3.9990  0.0160  4.1460  0.0190  3.8390  0.0060  3.8330  0.0060  0.9400  0.0300  0.7200  0.0300 -9.9900 -9.9900
PV_Pup                         A8_V         A8_V            1.661  6.89  0.32  0.1945  0.0031  0.1915  0.0036  0.1881  0.0051  0.1758  0.0052  4.2570  0.0100  4.2780  0.0110  3.8400  0.0190  3.8410  0.0190  0.6900  0.0800  0.6700  0.0800 -9.9900 -9.9900
CW_Eri                         F2_V         F5_V            2.728  8.43  0.36  0.1953  0.0044  0.1186  0.0033  0.3232  0.0015  0.1706  0.0015  3.9869  0.0026  4.2156  0.0022  3.8350  0.0060  3.8170  0.0060  0.9410  0.0220  0.5640  0.0260 -9.9900 -9.9900
IO_Aqr                         F5_V-IV      F6_V-IV         2.368  8.86  0.48  0.1956  0.0011  0.2188  0.0010  0.3406  0.0030  0.3967  0.0030  3.9520  0.0060  3.8630  0.0060  3.8110  0.0090  3.8020  0.0090  0.8800  0.0320  0.9540  0.0310 -9.9900 -9.9900
KIC_9777062                    Am           none           19.230 12.26  0.37  0.2049  0.0046  0.1520  0.0028  0.2415  0.0010  0.1886  0.0008  4.1600  0.0030  4.2130  0.0020  3.8860  0.0080  3.8540  0.0060 -9.9900 -9.9900 -9.9900 -9.9900 -0.0300  0.1300
V1022_Cas                      F6_V         F6_V           12.156  5.56  0.47  0.2111  0.0003  0.2060  0.0003  0.4099  0.0035  0.3883  0.0039  3.8300  0.0200  3.8700  0.0100  3.8030  0.0100  3.8080  0.0100  0.9850  0.0490  0.9610  0.0460 -9.9900 -9.9900
FS_Mon                         F2_V         F4_V            1.906  9.60  0.90  0.2127  0.0032  0.1649  0.0030  0.3120  0.0025  0.2119  0.0032  4.0260  0.0050  4.1790  0.0060  3.8270  0.0060  3.8160  0.0070  0.8880  0.0260  0.6440  0.0260 -9.9900 -9.9900
V501_Mon                       A6m          F0              7.021 12.32  0.57  0.2163  0.0011  0.1640  0.0007  0.2760  0.0067  0.2019  0.0076  4.1030  0.0130  4.1990  0.0160  3.8760  0.0060  3.8450  0.0060  1.0070  0.0270  0.7430  0.0430  0.0100  0.0600
CoRoT_102918586                none         none            4.391 12.45  0.42  0.2201  0.0052  0.1732  0.0087  0.2148  0.0026  0.1703  0.0029  4.2300  0.0100  4.2700  0.0100  3.8680  0.0050  3.8510  0.0070 -9.9900 -9.9900 -9.9900 -9.9900  0.1100  0.0500
KIC_9850387                    F1_V         none            2.748 13.67  0.48  0.2201  0.0026  0.0261  0.0016  0.3332  0.0006  0.0338  0.0012  3.9920  0.0030  4.3960  0.0030  3.8650  0.0050  3.7900  0.0050 -9.9900 -9.9900 -9.9900 -9.9900 -0.2000  0.0500
OGLE_SMC126.1_210              K2_III       K1_III        634.999 16.77  1.20  0.2238  0.0096  0.2225  0.0102  1.6387  0.0102  1.5911  0.0109  1.3850  0.0290  1.4790  0.0310  3.6510  0.0070  3.6540  0.0070  2.8360  0.0470  2.7520  0.0490 -0.8700  0.1500
